period,auc,accuracy,baseline,top_quintile_return,avg_return
2021-07-07 ~ 2022-07-13,0.5726226974468068,0.51648,0.50288,0.02681828186840483,-0.00029245252104514405
2022-07-14 ~ 2023-07-25,0.5231694959250051,0.59696,0.60376,0.03486259664106394,0.03089593123360145
2023-07-26 ~ 2024-08-05,0.5897293751025946,0.57432,0.55896,0.022894688890544627,0.016406627739921957
2024-08-06 ~ 2025-08-15,0.5604095240375191,0.54248,0.54664,0.03827649895369795,0.01418989008352116
2025-08-18 ~ 2026-08-27,0.5069172078394258,0.59792,0.64472,0.047079210285295145,0.06067129246613581
