run_at,data_end,best_model,auc,accuracy,baseline,auc_technical_only,replaced,auc_logistic,auc_random_forest,auc_gradient_boosting
2026-09-25 13:29,2026-09-24,random_forest,0.5503,0.5657,0.5714,0.5256,True,0.5344,0.5503,0.5465
2026-09-25 23:06,2026-09-24,random_forest,0.5506,0.5656,0.5714,0.5257,True,0.5344,0.5506,0.5473
