Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-25 00:00:00+08:00,497.9945298549107,504.6726174200149,497.9945298549107,500.8565673828125,17116402,0.0,0.0
2023-09-26 00:00:00+08:00,497.0405324006127,499.90257001520354,495.13250732421875,495.13250732421875,26392692,0.0,0.0
2023-09-27 00:00:00+08:00,493.2244747351869,498.94854987718134,492.2704622115212,497.9945373535156,16846401,0.0,0.0
2023-09-28 00:00:00+08:00,498.94854736328125,500.85657240099937,496.0865098067041,498.94854736328125,19733331,0.0,0.0
2023-10-02 00:00:00+08:00,505.6266707372039,509.44272108239034,503.71864556461065,508.48870849609375,25427911,0.0,0.0
2023-10-03 00:00:00+08:00,503.7186558512523,508.4887188801468,503.7186558512523,504.67266845703125,14490129,0.0,0.0
2023-10-04 00:00:00+08:00,497.04049929105315,498.948524240347,495.1324743417593,496.08648681640625,28358964,0.0,0.0
2023-10-05 00:00:00+08:00,498.94859539378774,504.6726710579612,498.94859539378774,503.7186584472656,24945684,0.0,0.0
2023-10-06 00:00:00+08:00,505.62670370689904,508.48874165240983,504.67269105839546,507.53472900390625,15336587,0.0,0.0
2023-10-11 00:00:00+08:00,517.0748239405015,518.9828491210938,515.1667987599092,518.9828491210938,46639969,0.0,0.0
2023-10-12 00:00:00+08:00,519.9367254083807,524.706787109375,518.9827130681819,524.706787109375,34161176,0.0,0.0
2023-10-13 00:00:00+08:00,524.7069926201543,528.5230434755736,522.7989671924446,527.5690307617188,31123496,0.0,0.0
2023-10-16 00:00:00+08:00,520.8908411428469,521.8448536724126,517.0747910245842,519.9368286132812,19875676,0.0,0.0
2023-10-17 00:00:00+08:00,524.7068761697482,526.6149011740018,522.7988511654945,525.660888671875,18364998,0.0,0.0
2023-10-18 00:00:00+08:00,523.752860514323,523.752860514323,515.166748046875,515.166748046875,26418940,0.0,0.0
2023-10-19 00:00:00+08:00,515.1666729266826,522.7987717848557,515.1666729266826,520.8907470703125,22881262,0.0,0.0
2023-10-20 00:00:00+08:00,523.7528814960726,530.4309692382812,520.890843892269,530.4309692382812,45984177,0.0,0.0
2023-10-23 00:00:00+08:00,526.6149498434628,527.5689624337589,518.0288365307975,518.9828491210938,22747367,0.0,0.0
2023-10-24 00:00:00+08:00,518.0288365307975,520.8908743016859,515.1667987599092,518.9828491210938,15007814,0.0,0.0
2023-10-25 00:00:00+08:00,518.9828491210938,525.6609372531666,518.9828491210938,518.9828491210938,16526355,0.0,0.0
2023-10-26 00:00:00+08:00,505.62667588056144,510.39673886056676,505.62667588056144,506.5806884765625,28188348,0.0,0.0
2023-10-27 00:00:00+08:00,509.44272108239034,511.35074625498356,507.5346959097971,508.48870849609375,15679643,0.0,0.0
2023-10-30 00:00:00+08:00,506.58071635540267,509.4427543009134,503.7186784098919,507.53472900390625,21404842,0.0,0.0
2023-10-31 00:00:00+08:00,510.39674409170453,510.39674409170453,502.76464324547345,504.67266845703125,25667058,0.0,0.0
2023-11-01 00:00:00+08:00,508.4887215007435,508.4887215007435,502.7646458365701,503.7186584472656,13603347,0.0,0.0
2023-11-02 00:00:00+08:00,511.3507707166933,521.8449096679688,510.3967580847592,521.8449096679688,29401438,0.0,0.0
2023-11-03 00:00:00+08:00,521.8449044427368,523.7529296875,519.9368791979736,523.7529296875,15426176,0.0,0.0
2023-11-06 00:00:00+08:00,527.5688241299716,530.4308611505681,524.706787109375,524.706787109375,29215201,0.0,0.0
2023-11-07 00:00:00+08:00,526.6148912584459,529.4769287109375,524.7068662901182,529.4769287109375,14777790,0.0,0.0
2023-11-08 00:00:00+08:00,524.7068940306739,531.3849817728825,524.7068940306739,530.4309692382812,15314834,0.0,0.0
